survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,trump_support,border_wall_support,immigration_level_concern,immigration_restrictionism_composite,party_identification,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2018,21,1,NA,NA,NA,NA,NA,NA,1,1,0,2,3,2,1,3,NA,1
2018,72,1,NA,NA,NA,NA,NA,NA,1,1,1,3,3,3,1,3,NA,1
2018,50,1,NA,NA,NA,NA,NA,NA,1,1,1,3,3,3,1,3,NA,1
2018,27,1,NA,NA,NA,NA,1,2,0,0,0,0,1,0,0,1,NA,0
2018,80,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,49,1,NA,NA,NA,NA,1,2,0,0,0,0,1,0,0,1,NA,0
2018,40,2,NA,NA,NA,NA,2,1,0,0,1,1,1,1,0,1,NA,0
2018,22,1,NA,NA,NA,NA,2,1,1,1,0,2,1,2,1,1,NA,1
2018,63,1,NA,NA,NA,NA,2,1,NA,0,0,0,3,0,0,3,NA,NA
2018,61,1,NA,NA,NA,NA,NA,NA,0,0,1,1,3,1,0,3,NA,0
2018,83,2,NA,NA,NA,NA,2,1,NA,0,0,0,2,0,0,2,NA,NA
2018,57,1,NA,NA,NA,NA,1,3,1,0,0,1,1,1,0,1,NA,1
2018,35,1,NA,NA,NA,NA,2,1,0,0,1,1,2,1,0,2,NA,0
2018,72,1,NA,NA,NA,NA,1,3,0,0,0,0,3,0,0,3,NA,0
2018,58,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,71,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,28,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,3,1,1,3,NA,NA
2018,29,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,62,1,NA,NA,NA,NA,2,1,1,0,1,2,2,2,0,2,NA,1
2018,64,2,NA,NA,NA,NA,2,1,NA,0,0,0,2,0,0,2,NA,NA
2018,60,2,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,1,NA,NA,NA,1
2018,37,2,NA,NA,NA,NA,1,3,0,0,0,0,NA,0,0,NA,NA,0
2018,45,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,3,NA,NA
2018,29,2,NA,NA,NA,NA,2,1,0,0,1,1,2,1,0,2,NA,0
2018,35,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,39,1,NA,NA,NA,NA,1,2,1,0,1,2,2,2,0,2,NA,1
2018,41,1,NA,NA,NA,NA,2,1,1,0,0,1,4,1,0,4,NA,1
2018,40,1,NA,NA,NA,NA,1,3,1,0,0,1,3,1,0,3,NA,1
2018,43,1,NA,NA,NA,NA,1,2,0,0,NA,0,2,0,0,2,NA,0
2018,43,1,NA,NA,NA,NA,2,1,1,1,1,3,3,3,1,3,NA,1
2018,65,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,62,2,NA,NA,NA,NA,1,2,1,0,0,1,2,1,0,2,NA,1
2018,31,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,23,1,NA,NA,NA,NA,2,1,1,0,1,2,3,2,0,3,NA,1
2018,42,1,NA,NA,NA,NA,2,1,0,0,1,1,2,1,0,2,NA,0
2018,66,1,NA,NA,NA,NA,2,1,1,1,0,2,2,2,1,2,NA,1
2018,53,2,NA,NA,NA,NA,1,3,0,0,0,0,2,0,0,2,NA,0
2018,65,1,NA,NA,NA,NA,1,2,0,0,1,1,2,1,0,2,NA,0
2018,23,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,0,0,3,NA,0
2018,71,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,83,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,64,2,NA,NA,NA,NA,1,2,1,1,1,3,3,3,1,3,NA,1
2018,64,2,NA,NA,NA,NA,1,2,1,1,0,2,1,2,1,1,NA,1
2018,54,1,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,47,2,NA,NA,NA,NA,1,2,1,1,1,3,1,3,1,1,NA,1
2018,22,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,54,2,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,34,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,36,2,NA,NA,NA,NA,2,1,0,NA,0,0,3,0,NA,3,NA,0
2018,39,1,NA,NA,NA,NA,1,3,1,0,0,1,NA,1,0,NA,NA,1
2018,40,1,NA,NA,NA,NA,NA,NA,0,0,1,1,2,1,0,2,NA,0
2018,59,2,NA,NA,NA,NA,2,1,0,1,1,2,2,2,1,2,NA,0
2018,69,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,58,1,NA,NA,NA,NA,1,3,0,0,1,1,2,1,0,2,NA,0
2018,37,1,NA,NA,NA,NA,1,3,0,0,0,0,2,0,0,2,NA,0
2018,28,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,47,1,NA,NA,NA,NA,1,3,NA,NA,0,0,2,0,NA,2,NA,NA
2018,35,1,NA,NA,NA,NA,1,3,1,1,1,3,1,3,1,1,NA,1
2018,35,1,NA,NA,NA,NA,1,3,NA,NA,0,0,3,0,NA,3,NA,NA
2018,57,2,NA,NA,NA,NA,2,1,NA,0,0,0,2,0,0,2,NA,NA
2018,45,2,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,45,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,20,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,44,1,NA,NA,NA,NA,1,2,0,0,1,1,2,1,0,2,NA,0
2018,51,2,NA,NA,NA,NA,2,1,NA,0,1,1,NA,1,0,NA,NA,NA
2018,25,1,NA,NA,NA,NA,1,3,1,1,1,3,NA,3,1,NA,NA,1
2018,31,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,22,2,NA,NA,NA,NA,2,1,1,1,1,3,1,3,1,1,NA,1
2018,66,2,NA,NA,NA,NA,2,1,0,0,NA,0,3,0,0,3,NA,0
2018,38,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,3,1,0,3,NA,NA
2018,53,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,68,1,NA,NA,NA,NA,2,1,NA,0,1,1,3,1,0,3,NA,NA
2018,23,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,54,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,36,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,23,1,NA,NA,NA,NA,1,2,0,0,1,1,3,1,0,3,NA,0
2018,46,1,NA,NA,NA,NA,1,2,0,0,1,1,3,1,0,3,NA,0
2018,85,1,NA,NA,NA,NA,2,1,0,NA,0,0,3,0,NA,3,NA,0
2018,53,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,57,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,45,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,47,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,61,1,NA,NA,NA,NA,1,2,1,0,0,1,1,1,0,1,NA,1
2018,28,1,NA,NA,NA,NA,1,3,0,0,0,0,3,0,0,3,NA,0
2018,48,1,NA,NA,NA,NA,2,1,0,1,1,2,3,2,1,3,NA,0
2018,45,1,NA,NA,NA,NA,1,3,0,0,0,0,3,0,0,3,NA,0
2018,53,1,NA,NA,NA,NA,2,1,1,1,0,2,2,2,1,2,NA,1
2018,50,2,NA,NA,NA,NA,2,1,1,1,1,3,4,3,1,4,NA,1
2018,40,1,NA,NA,NA,NA,2,1,1,1,0,2,3,2,1,3,NA,1
2018,53,2,NA,NA,NA,NA,NA,NA,0,0,1,1,2,1,0,2,NA,0
2018,30,1,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,52,1,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,42,2,NA,NA,NA,NA,1,2,1,1,0,2,3,2,1,3,NA,1
2018,66,2,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,50,1,NA,NA,NA,NA,1,2,NA,0,0,0,2,0,0,2,NA,NA
2018,42,1,NA,NA,NA,NA,2,1,0,1,0,1,3,1,1,3,NA,0
2018,49,1,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,34,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,4,NA,NA
2018,64,2,NA,NA,NA,NA,2,1,0,0,NA,0,3,0,0,3,NA,0
2018,NA,1,NA,NA,NA,NA,1,2,1,1,NA,2,1,2,1,1,NA,1
2018,47,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,61,1,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,67,2,NA,NA,NA,NA,2,1,0,0,1,1,NA,1,0,NA,NA,0
2018,35,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,30,1,NA,NA,NA,NA,1,3,0,0,1,1,3,1,0,3,NA,0
2018,36,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,73,1,NA,NA,NA,NA,NA,NA,0,0,1,1,4,1,0,4,NA,0
2018,60,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,68,1,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,30,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,41,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,60,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,23,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,33,2,NA,NA,NA,NA,1,2,0,NA,0,0,3,0,NA,3,NA,0
2018,33,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,0,0,3,NA,0
2018,32,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,34,1,NA,NA,NA,NA,2,1,0,0,NA,0,2,0,0,2,NA,0
2018,48,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,50,1,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,25,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,0,0,3,NA,0
2018,63,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,58,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,38,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,65,2,NA,NA,NA,NA,1,3,1,1,0,2,3,2,1,3,NA,1
2018,70,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,48,1,NA,NA,NA,NA,2,1,0,NA,0,0,3,0,NA,3,NA,0
2018,51,1,NA,NA,NA,NA,1,2,0,1,1,2,3,2,1,3,NA,0
2018,50,1,NA,NA,NA,NA,1,3,0,0,1,1,NA,1,0,NA,NA,0
2018,39,1,NA,NA,NA,NA,2,1,1,1,0,2,3,2,1,3,NA,1
2018,70,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,49,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,49,1,NA,NA,NA,NA,1,3,1,1,0,2,3,2,1,3,NA,1
2018,36,1,NA,NA,NA,NA,1,3,1,1,0,2,1,2,1,1,NA,1
2018,37,1,NA,NA,NA,NA,2,1,1,0,0,1,3,1,0,3,NA,1
2018,58,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,37,2,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,41,1,NA,NA,NA,NA,2,1,NA,0,0,0,2,0,0,2,NA,NA
2018,49,2,NA,NA,NA,NA,1,2,1,1,NA,2,1,2,1,1,NA,1
2018,23,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,30,2,NA,NA,NA,NA,1,3,0,0,1,1,3,1,0,3,NA,0
2018,22,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,2,NA,NA
2018,60,1,NA,NA,NA,NA,1,2,1,1,NA,2,3,2,1,3,NA,1
2018,41,2,NA,NA,NA,NA,NA,NA,1,0,0,1,3,1,0,3,NA,1
2018,42,2,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,54,1,NA,NA,NA,NA,1,2,NA,0,1,1,2,1,0,2,NA,NA
2018,34,1,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,42,2,NA,NA,NA,NA,1,3,0,0,0,0,3,0,0,3,NA,0
2018,33,1,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,2,1,NA,NA,1
2018,22,2,NA,NA,NA,NA,NA,NA,NA,1,0,1,3,1,1,3,NA,NA
2018,21,1,NA,NA,NA,NA,1,2,0,1,0,1,1,1,1,1,NA,0
2018,71,2,NA,NA,NA,NA,2,1,0,0,NA,0,2,0,0,2,NA,0
2018,62,1,NA,NA,NA,NA,1,2,1,NA,1,2,3,2,NA,3,NA,1
2018,35,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,NA,1,NA,NA,NA,NA,2,1,0,0,NA,0,4,0,0,4,NA,0
2018,22,1,NA,NA,NA,NA,2,1,1,1,1,3,1,3,1,1,NA,1
2018,69,1,NA,NA,NA,NA,1,2,0,0,0,0,1,0,0,1,NA,0
2018,53,2,NA,NA,NA,NA,2,1,1,0,0,1,2,1,0,2,NA,1
2018,34,1,NA,NA,NA,NA,1,3,1,1,0,2,3,2,1,3,NA,1
2018,40,2,NA,NA,NA,NA,2,1,NA,0,0,0,4,0,0,4,NA,NA
2018,47,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,4,0,0,4,NA,0
2018,34,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,47,2,NA,NA,NA,NA,2,1,0,0,1,1,NA,1,0,NA,NA,0
2018,27,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,2,2,2,1,2,NA,1
2018,63,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,68,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,38,1,NA,NA,NA,NA,2,1,1,1,NA,2,1,2,1,1,NA,1
2018,20,2,NA,NA,NA,NA,1,2,1,0,0,1,3,1,0,3,NA,1
2018,28,1,NA,NA,NA,NA,NA,NA,0,0,0,0,4,0,0,4,NA,0
2018,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,72,1,NA,NA,NA,NA,1,2,1,1,0,2,3,2,1,3,NA,1
2018,50,2,NA,NA,NA,NA,2,1,0,0,NA,0,3,0,0,3,NA,0
2018,41,2,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,52,1,NA,NA,NA,NA,2,1,1,0,0,1,2,1,0,2,NA,1
2018,70,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,0,3,0,NA,3,NA,0
2018,NA,2,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,55,2,NA,NA,NA,NA,1,2,0,0,1,1,1,1,0,1,NA,0
2018,NA,1,NA,NA,NA,NA,2,1,0,NA,0,0,2,0,NA,2,NA,0
2018,46,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,NA,1,NA,NA,NA,NA,1,3,0,0,0,0,2,0,0,2,NA,0
2018,59,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,48,2,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,NA,1,NA,NA,NA,NA,2,1,0,0,0,0,4,0,0,4,NA,0
2018,NA,2,NA,NA,NA,NA,2,1,0,0,0,0,4,0,0,4,NA,0
2018,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,58,2,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,18,2,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,63,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,NA,1,NA,NA,NA,NA,2,1,0,NA,0,0,4,0,NA,4,NA,0
2018,38,2,NA,NA,NA,NA,1,2,0,0,1,1,3,1,0,3,NA,0
2018,19,2,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,0
2018,68,1,NA,NA,NA,NA,2,1,NA,0,1,1,NA,1,0,NA,NA,NA
2018,76,1,NA,NA,NA,NA,2,1,0,NA,1,1,1,1,NA,1,NA,0
2018,19,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,60,2,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,NA,2,NA,NA,NA,NA,2,1,0,0,0,0,4,0,0,4,NA,0
2018,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,4,0,0,4,NA,0
2018,NA,2,NA,NA,NA,NA,2,1,0,0,0,0,4,0,0,4,NA,0
2018,57,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,22,2,NA,NA,NA,NA,2,1,0,0,NA,0,2,0,0,2,NA,0
2018,18,2,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,67,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,38,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,NA,2,NA,NA
2018,70,2,NA,NA,NA,NA,2,1,0,0,NA,0,3,0,0,3,NA,0
2018,33,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,2,0,0,2,NA,0
2018,66,1,NA,NA,NA,NA,1,2,0,0,1,1,2,1,0,2,NA,0
2018,46,1,NA,NA,NA,NA,1,3,NA,NA,0,0,2,0,NA,2,NA,NA
2018,22,1,NA,NA,NA,NA,NA,NA,1,0,0,1,3,1,0,3,NA,1
2018,63,2,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,47,1,NA,NA,NA,NA,2,1,NA,NA,0,0,1,0,NA,1,NA,NA
2018,38,1,NA,NA,NA,NA,1,3,1,1,0,2,3,2,1,3,NA,1
2018,41,1,NA,NA,NA,NA,1,3,0,0,0,0,3,0,0,3,NA,0
2018,38,1,NA,NA,NA,NA,2,1,1,1,NA,2,1,2,1,1,NA,1
2018,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,2,3,2,1,3,NA,1
2018,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,2,4,2,1,4,NA,1
2018,67,1,NA,NA,NA,NA,1,2,0,0,1,1,4,1,0,4,NA,0
2018,37,1,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,19,1,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,70,2,NA,NA,NA,NA,1,2,0,0,1,1,3,1,0,3,NA,0
2018,38,2,NA,NA,NA,NA,2,1,1,0,0,1,2,1,0,2,NA,1
2018,68,1,NA,NA,NA,NA,2,1,0,0,1,1,2,1,0,2,NA,0
2018,60,1,NA,NA,NA,NA,1,2,0,0,NA,0,3,0,0,3,NA,0
2018,52,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,60,1,NA,NA,NA,NA,2,1,NA,0,0,0,3,0,0,3,NA,NA
2018,55,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,2,0,0,2,NA,0
2018,74,2,NA,NA,NA,NA,2,1,0,0,NA,0,3,0,0,3,NA,0
2018,26,1,NA,NA,NA,NA,2,1,0,0,1,1,2,1,0,2,NA,0
2018,46,1,NA,NA,NA,NA,1,2,1,0,0,1,2,1,0,2,NA,1
2018,63,2,NA,NA,NA,NA,2,1,1,0,0,1,3,1,0,3,NA,1
2018,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,26,1,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,55,2,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,71,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,2,0,0,2,NA,0
2018,36,2,NA,NA,NA,NA,2,1,0,0,1,1,2,1,0,2,NA,0
2018,50,1,NA,NA,NA,NA,2,1,0,0,NA,0,1,0,0,1,NA,0
2018,48,1,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,41,2,NA,NA,NA,NA,2,1,0,0,NA,0,NA,0,0,NA,NA,0
2018,88,2,NA,NA,NA,NA,1,2,0,0,0,0,2,0,0,2,NA,0
2018,39,2,NA,NA,NA,NA,2,1,0,0,0,0,4,0,0,4,NA,0
2018,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,0,4,NA,NA
2018,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,4,0,0,4,NA,0
2018,61,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,55,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,64,1,NA,NA,NA,NA,1,2,0,0,0,0,4,0,0,4,NA,0
2018,46,2,NA,NA,NA,NA,1,2,1,0,1,2,2,2,0,2,NA,1
2018,35,1,NA,NA,NA,NA,2,1,NA,0,0,0,3,0,0,3,NA,NA
2018,40,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,32,1,NA,NA,NA,NA,1,3,NA,NA,1,1,2,1,NA,2,NA,NA
2018,56,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,78,1,NA,NA,NA,NA,2,1,0,0,NA,0,2,0,0,2,NA,0
2018,39,2,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,1,1,1,NA,0
2018,37,2,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2018,53,1,NA,NA,NA,NA,1,2,1,0,0,1,2,1,0,2,NA,1
2018,20,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,23,2,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,55,2,NA,NA,NA,NA,2,1,0,0,NA,0,3,0,0,3,NA,0
2018,NA,2,NA,NA,NA,NA,2,1,0,0,1,1,4,1,0,4,NA,0
2018,62,1,NA,NA,NA,NA,2,1,1,0,0,1,2,1,0,2,NA,1
2018,35,1,NA,NA,NA,NA,1,2,0,0,NA,0,2,0,0,2,NA,0
2018,30,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,36,1,NA,NA,NA,NA,1,2,1,1,0,2,3,2,1,3,NA,1
2018,69,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2018,60,1,NA,NA,NA,NA,2,1,1,1,1,3,3,3,1,3,NA,1
2018,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,4,0,0,4,NA,0
2018,60,2,NA,NA,NA,NA,1,2,NA,0,1,1,NA,1,0,NA,NA,NA
2018,68,2,NA,NA,NA,NA,1,2,0,0,0,0,4,0,0,4,NA,0
2018,40,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,46,1,NA,NA,NA,NA,2,1,0,0,1,1,NA,1,0,NA,NA,0
2018,57,2,NA,NA,NA,NA,1,2,0,0,1,1,2,1,0,2,NA,0
2018,71,1,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,40,1,NA,NA,NA,NA,1,3,1,1,0,2,3,2,1,3,NA,1
2018,55,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,38,1,NA,NA,NA,NA,2,1,1,1,0,2,3,2,1,3,NA,1
2018,50,1,NA,NA,NA,NA,NA,NA,0,1,1,2,3,2,1,3,NA,0
2018,NA,2,NA,NA,NA,NA,1,2,0,0,0,0,4,0,0,4,NA,0
